STT,CÂU HỎI,CÂU TRẢ LỜI
,,
1,Ngày thành lập khoa CNTT là ngày nào?,27/08/2010
2,Văn phòng khoa CNTT ở đâu?,"Nhà B, tầng 5, P.506, P.507, 280 An Dương Vương, P.4, Q.5, TP. HCM"
,Ban chủ nhiệm khoa gồm những ai?,Trưởng khoa: TS. Nguyễn Viết Hưng
,,Phó Trưởng khoa: TS. Trần Sơn Hải
3,,Phó Trưởng khoa: ThS. Trịnh Huy Hoàng
4,Số lượng giảng viên của khoa là bao nhiêu?,20 Giảng viên gồm 7 tiến sĩ và 13 thạc sĩ
,Mục tiêu đào tạo của khoa CNTT?,"Đào tạo giáo viên dạy Tin học bậc phổ thông có trình độ cử nhân Sư phạm Tin học, có phẩm chất chính trị, đạo đức và sức khỏe tốt, hiểu và vận dụng các tri thức cơ bản của Tin học; Lý luận và phương pháp giảng dạy Tin học ở trường trung học, tiểu học. Sau khi tốt nghiệp, người học có đủ năng lực để giảng dạy Tin học tại các trường trung học, tiểu học và một số cơ sở giáo dục tương đương."
5,,"Đào tạo cử nhân Công nghệ thông tin, có phẩm chất chính trị, đạo đức và sức khỏe tốt, hiểu và vận dụng các tri thức cơ bản về khoa học máy tính. Sau khi tốt nghiệp, người học có đủ năng lực để làm việc trong môi trường các cơ sở sản xuất, các viện hoặc trung tâm nghiên cứu trong lĩnh vực Công nghệ thông tin cũng như có thể tiếp tục theo các bậc học cao hơn."
,Khoa CNTT gồm những bộ môn nào?,Phương pháp giảng dạy tin học
,,Khoa học máy tính
6,,Hệ thống thông tin và mạng truyền thông
,Khoa CNTT gồm những ngành đào tạo nào?,"Đại học: Cử nhân Sư phạm TIn học, Cử nhân Công nghệ Thông tin"
7,,Sau Đại học: Thạc sĩ Khoa học máy tính
8,Chương trình đào tạo của khoa CNTT,
,Phòng Công nghệ thông tin,"- Tổ chức quản lí, khai thác bảo dưỡng hệ thống mạng máy tính."
9,,"- Nghiên cứu, phát triển và ứng dụng công nghệ thông tin nhằm phục vụ công tác đào tạo, quản lí của Nhà trường."
,,"Địa chỉ: A.503, A.504, 280 An Dương Vương, P.4, Q.5, TP. HCM"
,,Điện thoại: 028 3835 2020 - Ext: 166
,,Website: http://phongcntt.hcmue.edu.vn
,,Email: phongcntt@hcmue.edu.vn
10,"Phòng Công tác chính trị và Học sinh, sinh viên","Tham mưu và giúp Hiệu trưởng thực hiện các chủ trương, đường lối chính sách của Đảng và pháp luật của Nhà nước trong lĩnh vực chính trị tư tưởng."
,,"Quản lý học sinh, sinh viên theo nhiệm vụ được giao trong thời gian học tập tại Trường."
,,"Địa chỉ: A.108, A.109, A.110, 280 An Dương Vương, P.4, Q.5, TP. HCM"
,,"Điện thoại: 028 3835 2020 - Ext: 127, 128, 143"
,,Website: http://phongctct.hcmue.edu.vn
,,Email: phongctct@hcmue.edu.vn
,,"Địa chỉ: A.106, A.107, 280 An Dương Vương, P.4, Q.5, TP. HCM"
11,Phòng Đào tạo,"Điện thoại: 028 3835 2020 - Ext: 141, 142"
,,Website: http://phongdt.hcmue.edu.vn
,,Email: phongdt@hcmue.edu.vn
,,
12,Phòng Hợp tác Quốc tế,"Địa chỉ: A.111, 280 An Dương Vương, Phường 4, Quận 5, TP. Hồ Chí Minh."
,,"Điện thoại: 028 3891080, 172, 173"
,,Website: http://phonghtqt.hcmue.edu.vn
,,Email: phonghtqt@hcmue.edu.vn
,,
13,Phòng Khoa học Công nghệ và Môi trường - Tạp chí Khoa học,"Địa chỉ: A.112, 280 An Dương Vương, P.4, Q.5, TP. HCM"
,,Điện thoại: 028 3835 2020 - Ext: 177
,,Website: http://phongkhcn.hcmue.edu.vn
,,Email: phongkhcn@hcmue.edu.vn
,,
14,Phòng Kế hoạch - Tài chính,"Tham mưu và giúp Hiệu trưởng về công tác kế hoạch, quản lý hoạt động tài chính, tài sản, chế độ kế toán. Thực hiện quản lý và sử dụng hiệu quả các nguồn tài chính của Trường theo đúng quy định của Nhà nước."
,,"Địa chỉ: Phòng A205-206-207, 280 An Dương Vương, P. 4, Q. 5, TP. Hồ Chí Minh"
,,"Điện thoại: 028 3835 2020 - Ext: 136, 137, 138, 139, 140"
,,Website: http://phongkhtc.hcmue.edu.vn
,,Email: phongkhtc@hcmue.edu.vn
15,Phòng Quản trị - Thiết bị,"Địa chỉ: C.004, C.005, C.006, 280 An Dương Vương, P.4, Q.5, TP. HCM"
,,"Điện thoại: 028 3835 2020 - Ext: 197, 198"
,,Website: http://phongqttb.hcmue.edu.vn
,,Email: phongqttb@hcmue.edu.vn
,,
16,Phòng Sau Đại học,"Địa chỉ: C.102, C.103, C.104, 280 An Dương Vương, P.4, Q.5, TP. HCM."
